event_id,session_id,event_at,event_name,page_url,event_value_zar,user_agent_category
1,1956,2026-05-23 16:15:35,error_page,https://www.fasta.co.za/calculator,,Safari
2,5368,2025-07-07 13:50:00,page_view,https://www.fasta.co.za/apply/step3,,Safari
3,14,2025-06-28 10:45:42,application_step_2_complete,https://www.fasta.co.za/calculator,,Bot
4,5701,2025-06-28 14:14:41,chat_message_sent,https://www.fasta.co.za/,,Chrome
5,6197,2025-08-06 15:50:16,facebook_contact_click,https://www.fasta.co.za/offer,,Safari
6,6681,2026-03-05 07:40:24,offer_viewed,https://www.fasta.co.za/calculator,1413.62,Safari
7,4673,2025-03-01 20:07:17,application_started,https://www.fasta.co.za/apply/step3,,
8,2873,2025-04-07 16:28:46,offer_accepted,https://www.fasta.co.za/apply/step3,7709.24,Edge
9,3158,2025-03-14 13:41:34,application_started,https://www.fasta.co.za/calculator,,Edge
10,2650,2025-05-18 08:23:29,loan_calculator_changed,https://www.fasta.co.za/,953.98,Chrome
11,7798,2025-04-19 12:15:53,offer_accepted,https://www.fasta.co.za/offer,1541.68,
12,7300,2025-03-31 12:25:14,error_page,https://www.fasta.co.za/apply/step2,,Firefox
13,2981,2025-07-13 14:08:26,page_view,https://www.fasta.co.za/calculator,,
14,3603,2025-02-11 08:03:55,facebook_contact_click,https://www.fasta.co.za/apply/step2,,Bot
15,4330,2025-04-12 20:21:22,LOAN_CALCULATOR_CHANGED,https://www.fasta.co.za/calculator,1926.59,
16,6143,2026-06-12 15:51:15,chat_message_sent,https://www.fasta.co.za/,,Bot
17,4224,2025-02-05 22:59:13,offer_accepted,https://www.fasta.co.za/apply/step3,,Edge
18,1881,2025-07-28 14:56:09,chat_open,https://www.fasta.co.za/apply/step2,,Chrome
19,1493,2025-06-21 22:54:09,document_upload,https://www.fasta.co.za/apply/step3,,
20,7447,2025-03-01 10:34:00,offer_declined,https://www.fasta.co.za/offer,1898.87,Bot
21,2384,2026-01-27 14:39:23,chat_message_sent,https://www.fasta.co.za/apply/step1,,
22,5799,2025-01-21 14:54:20,page_view,https://www.fasta.co.za/apply/step2,,Bot
23,1016,2026-04-01 14:41:48,facebook_contact_click,https://www.fasta.co.za/offer,,Chrome
24,2526,2026-03-23 22:31:06,loan_calculator_changed,https://www.fasta.co.za/apply/step2,2364.45,Firefox
25,1943,2025-08-12 13:38:01,application_submitted,https://www.fasta.co.za/calculator,,Bot
26,1607,2025-10-28 18:03:26,application_submitted,https://www.fasta.co.za/calculator,,Safari
27,4913,2026-02-11 11:06:05,application_step_2_complete,https://www.fasta.co.za/apply/step1,,
28,5380,2025-09-09 15:07:38,application_submitted,https://www.fasta.co.za/apply/step3,,Edge
29,3683,2025-01-14 14:56:47,chat_message_sent,https://www.fasta.co.za/apply/step3,,Chrome
30,381,2025-12-30 13:51:39,loan_calculator_changed,https://www.fasta.co.za/apply/step1,2132.78,Safari
31,6787,2025-02-19 08:51:30,APPLICATION_STEP_1_COMPLETE,https://www.fasta.co.za/,,Safari
32,5142,2025-09-23 20:27:32,offer_viewed,https://www.fasta.co.za/calculator,964.35,Firefox
33,5903,2026-02-01 11:09:04,error_page,https://www.fasta.co.za/apply/step1,,Edge
34,1910,2025-12-05 19:06:35,facebook_contact_click,https://www.fasta.co.za/offer,,Edge
35,2788,2025-08-03 18:36:16,page_view,https://www.fasta.co.za/calculator,,Bot
36,7418,2025-09-30 19:58:16,application_step_2_complete,https://www.fasta.co.za/,,Bot
37,2642,2026-01-31 11:50:18,loan_calculator_changed,https://www.fasta.co.za/calculator,2278.37,Safari
38,4962,2026-03-06 08:18:17,document_upload,https://www.fasta.co.za/apply/step3,,Bot
39,4784,2025-07-28 22:16:44,apply_now_click,https://www.fasta.co.za/offer,5377.69,
40,5591,2026-03-10 08:40:35,session_timeout,https://www.fasta.co.za/apply/step3,,Chrome
41,1261,2026-06-03 09:28:24,application_step_1_complete,https://www.fasta.co.za/apply/step1,,
42,7124,2026-02-17 21:26:22,LOAN_CALCULATOR_CHANGED,https://www.fasta.co.za/calculator,975.66,Edge
43,832,2026-03-31 07:06:54,page_view,https://www.fasta.co.za/,,Safari
44,6951,2026-06-06 08:39:14,facebook_contact_click,https://www.fasta.co.za/offer,,Chrome
45,4778,2026-03-10 09:28:28,page_view,https://www.fasta.co.za/offer,,Chrome
46,7166,2026-02-10 10:12:46,apply_now_click,https://www.fasta.co.za/apply/step3,10890.77,Edge
